,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Overall_score,housing age,remod age,Exter Score,Bsmt score,Bsmt Finished Area,BsmtFin Score,Gr Liv Calc,total_bath_rooms,Garage years,Garage_Area_Per_Car,Total_Porch_Area,Season
10,1044,527451290,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2.0,6,5,1971,1971,Gable,CompShg,HdBoard,NIL,BrkFace,232.0,CBlock,3,3,1,4,387.0,0,0.0,96.0,483.0,GasA,4,Y,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,0,Detchd,1971.0,1.0,1.0,264.0,3.0,Y,0,0,0,0,0,0,NA,0,NA,0,7,2008,COD,85400,11,37,37,6,7,387.0,4,987,2.0,37.0,264.0,0,Summer
11,2752,906380150,20,RL,64,7488,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.0,7,5,2005,2005,Gable,CompShg,VinylSd,NIL,None,0.0,PConc,4,3,3,5,393.0,0,0.0,815.0,1208.0,GasA,5,Y,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,0,Attchd,2005.0,2.0,2.0,632.0,3.0,Y,105,58,0,0,0,0,NA,0,NA,0,2,2006,WD ,183600,12,1,1,7,10,393.0,5,1208,2.0,1.0,316.0,58,Winter
12,807,906226060,70,RL,120,26400,Pave,NA,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2.0,5,7,1880,2007,Gable,CompShg,HdBoard,NIL,None,0.0,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,Y,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,3,Attchd,1900.0,1.0,2.0,576.0,3.0,P,0,0,0,0,0,0,NA,0,NA,0,6,2009,WD ,131000,12,129,2,7,0,0.0,0,2016,1.0,109.0,288.0,0,Summer
13,1177,533236070,160,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2.0,8,5,1999,2000,Gable,CompShg,MetalSd,NIL,BrkFace,456.0,PConc,4,3,1,5,813.0,0,0.0,147.0,960.0,GasA,5,Y,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,0,Detchd,2000.0,1.0,2.0,480.0,3.0,Y,169,0,0,0,0,0,NA,0,NA,0,12,2008,Con,200000,13,9,8,7,8,813.0,5,1607,4.0,8.0,240.0,0,Winter
14,1480,907418040,20,RL,74,9627,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.0,7,5,2007,2007,Gable,CompShg,VinylSd,NIL,None,0.0,PConc,4,3,3,5,24.0,0,0.0,1327.0,1351.0,GasA,5,Y,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,0,Attchd,2007.0,2.0,2.0,610.0,3.0,Y,0,50,0,0,0,0,NA,0,NA,0,6,2008,WD ,193000,12,1,1,7,10,24.0,5,1361,2.0,1.0,305.0,50,Summer
15,324,923202105,20,RL,93,10114,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.0,5,5,2004,2005,Gable,CompShg,VinylSd,NIL,None,0.0,PConc,5,3,3,0,0.0,0,0.0,1430.0,1430.0,GasA,5,Y,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,2004.0,2.0,2.0,624.0,3.0,Y,0,0,0,0,0,0,NA,0,NA,0,3,2010,WD ,173500,10,6,5,6,11,0.0,0,1430,2.0,6.0,312.0,0,Spring
16,1311,902301140,70,RM,34,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.0,5,5,1916,1950,Gable,CompShg,AsbShng,NIL,None,0.0,BrkTil,3,3,1,0,0.0,0,0.0,624.0,624.0,GasA,2,N,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,0,Detchd,1916.0,1.0,3.0,513.0,2.0,Y,0,0,96,0,0,0,NA,0,NA,0,5,2008,COD,98000,10,92,58,6,7,0.0,0,1344,1.0,92.0,171.0,96,Spring
17,770,905101490,20,RL,80,8816,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1.0,5,6,1963,1963,Gable,CompShg,VinylSd,NIL,None,0.0,PConc,3,3,1,2,651.0,0,0.0,470.0,1121.0,GasA,4,Y,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1963.0,1.0,2.0,480.0,3.0,Y,0,80,0,0,0,0,NA,3,NA,0,6,2009,WD ,139000,11,46,46,6,7,651.0,2,1121,2.0,46.0,240.0,80,Summer
18,2063,905107140,20,RL,71,8197,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.0,6,5,1977,1977,Gable,CompShg,Plywood,NIL,BrkFace,148.0,CBlock,3,3,1,0,0.0,0,0.0,660.0,660.0,GasA,5,Y,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,3,Attchd,1977.0,2.0,2.0,528.0,3.0,Y,138,0,0,0,0,0,NA,3,NA,0,4,2007,WD ,143500,11,30,30,6,7,0.0,0,1285,2.0,30.0,264.0,0,Spring
19,69,528458070,60,FV,72,8640,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2.0,7,5,2009,2009,Gable,CompShg,VinylSd,NIL,None,0.0,PConc,4,3,2,5,24.0,0,0.0,732.0,756.0,GasA,5,Y,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,0,Attchd,2009.0,1.0,2.0,614.0,3.0,Y,169,45,0,0,0,0,NA,0,NA,0,6,2010,Con,215200,12,1,1,6,9,24.0,5,1547,3.0,1.0,307.0,45,Summer
20,2062,905106150,20,RL,109,8724,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.0,5,5,1968,1968,Gable,CompShg,VinylSd,NIL,None,0.0,CBlock,4,3,1,3,492.0,0,0.0,402.0,894.0,GasA,3,Y,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,1,Attchd,1968.0,3.0,2.0,450.0,3.0,Y,0,0,0,0,0,0,NA,0,NA,0,5,2007,WD ,129000,10,39,39,6,8,492.0,3,894,1.0,39.0,225.0,0,Spring
21,351,527131030,120,RL,40,5664,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1.0,8,5,2000,2000,Gable,CompShg,CemntBd,NIL,None,0.0,PConc,4,3,1,5,1158.0,0,0.0,343.0,1501.0,GasA,5,Y,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,5,Attchd,2000.0,3.0,2.0,499.0,3.0,Y,212,59,0,0,0,0,NA,0,NA,0,10,2009,WD ,278000,13,9,9,7,8,1158.0,5,1659,3.0,9.0,249.5,59,Fall
22,2393,528142010,60,RL,103,12867,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2.0,8,5,2005,2006,Gable,CompShg,CemntBd,NIL,,0.0,PConc,5,3,3,0,0.0,0,0.0,1209.0,1209.0,GasA,5,Y,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,Typ,1,4,Attchd,2005.0,3.0,2.0,575.0,3.0,Y,243,142,0,0,0,0,NA,0,NA,0,7,2006,New,344133,13,1,0,7,11,0.0,0,2253,3.0,1.0,287.5,142,Summer
23,12,527165230,20,RL,73,7980,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1.0,6,7,1992,2007,Gable,CompShg,HdBoard,NIL,None,0.0,PConc,4,3,1,4,935.0,0,0.0,233.0,1168.0,GasA,5,Y,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,0,Attchd,1992.0,3.0,2.0,420.0,3.0,Y,483,21,0,0,0,0,NA,4,Shed,500,3,2010,WD ,185000,13,18,3,7,8,935.0,4,1187,3.0,18.0,210.0,21,Spring
24,2339,527250040,190,RL,100,34650,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1.0,5,5,1955,1955,Hip,CompShg,Wd Sdng,NIL,None,0.0,CBlock,3,3,2,2,1056.0,0,0.0,0.0,1056.0,GasA,4,N,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Attchd,1955.0,3.0,2.0,572.0,3.0,Y,264,0,0,0,0,0,NA,0,NA,0,1,2006,WD ,145000,10,51,51,6,8,1056.0,2,1056,2.0,51.0,286.0,0,Winter
25,624,535104120,20,RL,92,10573,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1.0,6,6,1961,1961,Hip,CompShg,MetalSd,NIL,BrkFace,3.0,CBlock,3,3,1,2,1312.0,0,0.0,141.0,1453.0,GasA,5,Y,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,Typ,1,3,Attchd,1961.0,2.0,2.0,530.0,3.0,Y,0,49,0,0,288,0,NA,4,NA,0,4,2009,WD ,187500,12,48,48,6,7,1312.0,2,1453,3.0,48.0,265.0,337,Spring
26,86,532376160,20,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1.0,5,8,1965,2009,Gable,CompShg,MetalSd,NIL,None,0.0,CBlock,3,3,1,5,553.0,3,117.0,224.0,894.0,GasA,5,Y,894,0,0,894,1.0,0.0,1,0,3,1,3,5,Typ,1,4,Detchd,1973.0,1.0,1.0,336.0,3.0,Y,416,144,0,0,0,0,NA,3,NA,0,4,2010,WD ,138500,13,45,1,7,7,670.0,8,894,2.0,37.0,336.0,144,Spring
27,1534,909277040,50,RL,73,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5,5,6,1937,1995,Gable,CompShg,WdShing,NIL,None,0.0,CBlock,3,3,1,3,606.0,0,0.0,336.0,942.0,GasA,5,Y,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,Min2,1,4,Detchd,1937.0,1.0,1.0,240.0,3.0,Y,0,40,0,0,0,0,NA,0,NA,0,7,2008,WD ,198000,11,71,13,6,7,606.0,3,1938,2.0,71.0,240.0,40,Summer
28,2243,911103060,190,C (all),75,8250,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2.0,5,6,1895,2006,Gable,CompShg,VinylSd,NIL,None,0.0,CBlock,3,3,1,0,0.0,0,0.0,957.0,957.0,GasA,2,N,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,Typ,0,0,NA,1895.0,0.0,0.0,0.0,0.0,N,0,0,133,0,0,0,NA,0,NA,0,6,2007,WD ,119600,11,112,1,7,7,0.0,0,1991,2.0,112.0,0.0,133,Summer
29,1957,535450190,50,RL,60,8064,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5,5,7,1949,2006,Gable,CompShg,MetalSd,NIL,None,0.0,CBlock,3,3,2,0,0.0,0,0.0,672.0,672.0,GasA,5,Y,672,252,0,924,0.0,0.0,1,0,3,1,3,6,Typ,1,1,Detchd,2003.0,1.0,2.0,576.0,3.0,Y,0,0,0,0,0,0,NA,3,Shed,2000,7,2007,WD ,122900,12,58,1,7,8,0.0,0,924,1.0,4.0,288.0,0,Summer
30,380,527355150,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1.0,8,5,1981,1981,Hip,WdShngl,BrkFace,NIL,None,0.0,PConc,4,3,1,4,1104.0,0,0.0,1420.0,2524.0,GasA,4,Y,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,Typ,1,4,Attchd,1981.0,3.0,2.0,542.0,3.0,Y,474,120,0,0,0,0,NA,3,NA,0,7,2009,WD ,278000,13,28,28,7,8,1104.0,4,2524,4.0,28.0,271.0,120,Summer
31,2860,909276010,70,RL,73,11435,Pave,NA,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2.0,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,PConc,4,3,1,0,0.0,0,0.0,792.0,792.0,GasA,2,Y,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,Typ,2,4,Detchd,1931.0,1.0,2.0,400.0,3.0,Y,0,0,0,0,0,0,NA,0,NA,0,6,2006,WD ,230000,15,77,56,6,8,0.0,0,1517,1.0,75.0,200.0,0,Summer
32,2517,533250130,120,RL,30,9549,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1.0,8,5,1995,1996,Hip,CompShg,BrkFace,NIL,None,0.0,PConc,4,4,3,1,437.0,5,1057.0,0.0,1494.0,GasA,5,Y,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,Typ,1,4,Attchd,1995.0,3.0,2.0,481.0,3.0,Y,0,30,0,0,216,0,NA,0,NA,0,4,2006,WD ,270000,13,11,10,8,11,1494.0,6,1494,3.0,11.0,240.5,246,Spring
33,1933,535302070,20,RL,60,10950,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.0,6,6,1952,1952,Hip,CompShg,Wd Sdng,NIL,None,0.0,CBlock,3,3,1,4,441.0,0,0.0,507.0,948.0,GasA,4,Y,948,0,0,948,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Detchd,1952.0,1.0,2.0,410.0,3.0,N,0,48,0,0,0,0,NA,0,NA,0,4,2007,WD ,125000,12,55,55,6,7,441.0,4,948,1.0,55.0,205.0,48,Spring
34,820,906340110,20,RL,79,10637,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.0,8,5,2007,2008,Hip,CompShg,VinylSd,NIL,Stone,336.0,PConc,5,3,4,5,1288.0,0,0.0,417.0,1705.0,GasA,5,Y,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,2007.0,2.0,3.0,826.0,3.0,Y,208,44,0,0,0,0,NA,0,NA,0,9,2009,WD ,297000,13,2,1,7,12,1288.0,5,1718,3.0,2.0,275.3333333333333,44,Fall
35,675,535426150,20,RL,80,9000,Pave,NA,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1.0,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,NIL,BrkFace,82.0,CBlock,4,3,4,0,0.0,0,0.0,160.0,160.0,GasA,2,Y,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,Typ,1,4,Basment,1958.0,2.0,1.0,384.0,3.0,Y,0,28,64,0,0,0,NA,0,NA,0,4,2009,WD ,113500,12,51,51,6,11,0.0,0,1142,1.0,51.0,384.0,92,Spring
36,2910,923225240,160,RM,41,2665,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2.0,5,6,1977,1977,Gable,CompShg,CemntBd,NIL,None,0.0,PConc,3,3,1,4,548.0,2,173.0,36.0,757.0,GasA,5,Y,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,Typ,1,3,Attchd,1977.0,2.0,1.0,336.0,3.0,Y,104,26,0,0,0,0,NA,0,NA,0,7,2006,WD ,127000,11,29,29,6,7,721.0,6,1475,2.0,29.0,336.0,26,Summer
37,21,527358140,20,RL,105,11751,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1.0,6,6,1977,1977,Hip,CompShg,Plywood,NIL,BrkFace,480.0,CBlock,4,3,1,3,705.0,0,0.0,1139.0,1844.0,GasA,5,Y,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,Typ,1,3,Attchd,1977.0,2.0,2.0,546.0,3.0,Y,0,122,0,0,0,0,NA,3,NA,0,1,2010,COD,190000,12,33,33,6,8,705.0,3,1844,2.0,33.0,273.0,122,Winter
38,1873,534177210,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1.0,7,6,1973,1973,Hip,CompShg,HdBoard,NIL,BrkFace,320.0,CBlock,3,3,1,4,916.0,0,0.0,326.0,1242.0,GasA,2,Y,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,Typ,1,3,Attchd,1973.0,1.0,2.0,528.0,3.0,Y,0,0,0,0,0,0,NA,0,NA,0,9,2007,WD ,175500,13,34,34,6,7,916.0,4,1242,2.0,34.0,264.0,0,Fall
39,2125,907135050,20,RL,60,8428,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.0,5,7,1994,1994,Gable,CompShg,VinylSd,NIL,None,0.0,PConc,4,4,1,5,420.0,0,0.0,570.0,990.0,GasA,5,Y,990,0,0,990,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1995.0,1.0,1.0,384.0,3.0,Y,256,0,0,0,0,0,NA,0,NA,0,7,2007,WD ,146000,12,13,13,7,9,420.0,5,990,2.0,12.0,384.0,0,Summer
40,1489,908102260,20,RL,75,9937,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.0,5,6,1965,1965,Gable,CompShg,HdBoard,NIL,None,0.0,CBlock,3,3,1,3,830.0,1,290.0,136.0,1256.0,GasA,3,Y,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,Typ,0,0,Attchd,1965.0,3.0,1.0,276.0,3.0,Y,736,68,0,0,0,0,NA,0,NA,0,6,2008,WD ,147500,11,43,43,7,7,1120.0,4,1256,3.0,43.0,276.0,68,Summer
41,2383,528110050,20,RL,107,13891,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1.0,10,5,2006,2006,Gable,CompShg,VinylSd,NIL,,0.0,PConc,5,4,4,5,1386.0,0,0.0,690.0,2076.0,GasA,5,Y,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,Typ,1,4,Attchd,2006.0,3.0,3.0,850.0,3.0,Y,216,229,0,0,0,0,NA,0,NA,0,9,2006,New,465000,15,0,0,8,13,1386.0,5,2076,4.0,0.0,283.3333333333333,229,Fall
42,983,923275040,85,RL,73,9101,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,2.0,5,6,1978,1978,Gable,CompShg,Plywood,NIL,BrkFace,104.0,PConc,4,3,3,5,1097.0,0,0.0,0.0,1097.0,GasA,5,Y,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,Typ,1,3,Attchd,1978.0,3.0,2.0,602.0,3.0,Y,303,30,0,0,0,0,NA,0,NA,0,7,2009,WD ,165500,11,31,31,7,10,1097.0,5,1110,2.0,31.0,301.0,30,Summer
43,1325,902406090,50,RM,81,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5,5,5,1954,1954,Gable,CompShg,MetalSd,NIL,BrkFace,335.0,BrkTil,3,3,1,0,0.0,0,0.0,1050.0,1050.0,GasA,5,N,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,Typ,0,0,Attchd,1954.0,1.0,1.0,352.0,3.0,Y,0,0,0,0,0,0,NA,0,NA,0,11,2008,WD ,131500,10,54,54,6,7,0.0,0,1795,2.0,54.0,352.0,0,Fall
